emoji_id,name,chain_id,emoji,file_name,keywords
5310265558678151461,0g,g0,🔗,sticker.webp,0g|g0|chain|debank
5309975725695079527,abstract,abs,🔗,sticker.webp,abstract|abs|chain|debank
5307644911368052585,apechain,ape,🔗,sticker.webp,apechain|ape|chain|debank
5310265988174883159,arbitrum,arb,🔗,sticker.webp,arbitrum|arb|chain|debank
5307896261444147754,arbitrum nova,nova,🔗,sticker.webp,arbitrum nova|nova|chain|debank
5310253872072136411,astar,astar,🔗,sticker.webp,astar|astar|chain|debank
5310167843877198826,avalanche,avax,🔗,sticker.webp,avalanche|avax|chain|debank
5310026337589694085,base,base,🔗,sticker.webp,base|base|chain|debank
5307835294383380630,berachain,bera,🔗,sticker.webp,berachain|bera|chain|debank
5309745283519784317,bitlayer,btr,🔗,sticker.webp,bitlayer|btr|chain|debank
5309750033753611309,blast,blast,🔗,sticker.webp,blast|blast|chain|debank
5310068763276651428,bnb chain,bsc,🔗,sticker.webp,bnb chain|bsc|chain|debank
5307521220604894387,bob,bob,🔗,sticker.webp,bob|bob|chain|debank
5310114307109855998,boba,boba,🔗,sticker.webp,boba|boba|chain|debank
5310061083875120139,botanix,botanix,🔗,sticker.webp,botanix|botanix|chain|debank
5309991930606689623,bouncebit,bb,🔗,sticker.webp,bouncebit|bb|chain|debank
5309970017683548695,b²,b2,🔗,sticker.webp,b²|b2|chain|debank
5310013723270747035,canto,canto,🔗,sticker.webp,canto|canto|chain|debank
5308017340867191965,celo,celo,🔗,sticker.webp,celo|celo|chain|debank
5307602829278484776,chiliz,chiliz,🔗,sticker.webp,chiliz|chiliz|chain|debank
5310162625491933606,conflux,cfx,🔗,sticker.webp,conflux|cfx|chain|debank
5309991900541915851,core,core,🔗,sticker.webp,core|core|chain|debank
5307732623190172299,corn,corn,🔗,sticker.webp,corn|corn|chain|debank
5307949682247374976,cronos,cro,🔗,sticker.webp,cronos|cro|chain|debank
5307934422228573294,cronos zkevm,croze,🔗,sticker.webp,cronos zkevm|croze|chain|debank
5307927228158351806,cyber,cyber,🔗,sticker.webp,cyber|cyber|chain|debank
5307998009219389041,dbk chain,dbk,🔗,sticker.webp,dbk chain|dbk|chain|debank
5309876168353158657,dfk,dfk,🔗,sticker.webp,dfk|dfk|chain|debank
5310016996035829939,dogechain,doge,🔗,sticker.webp,dogechain|doge|chain|debank
5307877982063338075,duckchain,duck,🔗,sticker.webp,duckchain|duck|chain|debank
5310299639243640769,ethereum,eth,🔗,sticker.webp,ethereum|eth|chain|debank
5310127655868211127,etherlink,ethlink,🔗,sticker.webp,etherlink|ethlink|chain|debank
5310127681638013842,fantom,ftm,🔗,sticker.webp,fantom|ftm|chain|debank
5309845364847710285,flare,flr,🔗,sticker.webp,flare|flr|chain|debank
5307587161237789310,fraxtal,frax,🔗,sticker.webp,fraxtal|frax|chain|debank
5307685331305275676,fuse,fuse,🔗,sticker.webp,fuse|fuse|chain|debank
5309882512019855625,gnosis chain,xdai,🔗,sticker.webp,gnosis chain|xdai|chain|debank
5309938866285747299,goat,goat,🔗,sticker.webp,goat|goat|chain|debank
5309854938329813084,gravity,gravity,🔗,sticker.webp,gravity|gravity|chain|debank
5309857468065553469,hashkey,hsk,🔗,sticker.webp,hashkey|hsk|chain|debank
5310036430762844398,hemi,hemi,🔗,sticker.webp,hemi|hemi|chain|debank
5310166366408446571,hyperevm,hyper,🔗,sticker.webp,hyperevm|hyper|chain|debank
5310216415662349824,immutable zkevm,itze,🔗,sticker.webp,immutable zkevm|itze|chain|debank
5307663225108601121,ink,ink,🔗,sticker.webp,ink|ink|chain|debank
5310132706749747647,iotex,iotx,🔗,sticker.webp,iotex|iotx|chain|debank
5307918268856572458,kaia,klay,🔗,sticker.webp,kaia|klay|chain|debank
5307500239689653479,katana,katana,🔗,sticker.webp,katana|katana|chain|debank
5309885028870692118,kava,kava,🔗,sticker.webp,kava|kava|chain|debank
5307770685190347014,lens,lens,🔗,sticker.webp,lens|lens|chain|debank
5307796665447522514,linea,linea,🔗,sticker.webp,linea|linea|chain|debank
5310282283280799556,lisk,lisk,🔗,sticker.webp,lisk|lisk|chain|debank
5310164141615390882,manta pacific,manta,🔗,sticker.webp,manta pacific|manta|chain|debank
5307944940603480574,mantle,mnt,🔗,sticker.webp,mantle|mnt|chain|debank
5307705487586793785,megaeth,megaeth,🔗,sticker.webp,megaeth|megaeth|chain|debank
5310291826698130360,merlin,merlin,🔗,sticker.webp,merlin|merlin|chain|debank
5310182163298159416,metis,metis,🔗,sticker.webp,metis|metis|chain|debank
5310026054121855445,mitosis,mito,🔗,sticker.webp,mitosis|mito|chain|debank
5309890006737788162,mode,mode,🔗,sticker.webp,mode|mode|chain|debank
5307493058504331129,monad,monad,🔗,sticker.webp,monad|monad|chain|debank
5310219851636187428,moonbeam,mobm,🔗,sticker.webp,moonbeam|mobm|chain|debank
5310283129389357364,moonriver,movr,🔗,sticker.webp,moonriver|movr|chain|debank
5309755784714823056,morph,morph,🔗,sticker.webp,morph|morph|chain|debank
5310089022637381989,oasys,oas,🔗,sticker.webp,oasys|oas|chain|debank
5310135653097313471,op,op,🔗,sticker.webp,op|op|chain|debank
5309838411295662351,opbnb,opbnb,🔗,sticker.webp,opbnb|opbnb|chain|debank
5307810151644832021,orderly,orderly,🔗,sticker.webp,orderly|orderly|chain|debank
5309764838505883869,plasma,plasma,🔗,sticker.webp,plasma|plasma|chain|debank
5307704495449351659,plume,plume,🔗,sticker.webp,plume|plume|chain|debank
5307867674141826153,polygon,matic,🔗,sticker.webp,polygon|matic|chain|debank
5307544035471168974,rari,rari,🔗,sticker.webp,rari|rari|chain|debank
5309851085744150496,reya,reya,🔗,sticker.webp,reya|reya|chain|debank
5310096435750933439,ronin,ron,🔗,sticker.webp,ronin|ron|chain|debank
5310261306660527128,rootstock,rsk,🔗,sticker.webp,rootstock|rsk|chain|debank
5307602107723977744,scroll,scrl,🔗,sticker.webp,scroll|scrl|chain|debank
5310277850874552703,sei,sei,🔗,sticker.webp,sei|sei|chain|debank
5309929026515672171,shibarium,shib,🔗,sticker.webp,shibarium|shib|chain|debank
5310233878999374846,soneium,soneium,🔗,sticker.webp,soneium|soneium|chain|debank
5309849071404488498,sonic,sonic,🔗,sticker.webp,sonic|sonic|chain|debank
5309789461553391613,sophon,sophon,🔗,sticker.webp,sophon|sophon|chain|debank
5309993176147205600,stable,stable,🔗,sticker.webp,stable|stable|chain|debank
5307594325243237645,story,story,🔗,sticker.webp,story|story|chain|debank
5307535441241609214,swellchain,swell,🔗,sticker.webp,swellchain|swell|chain|debank
5309938462558831325,tac,tac,🔗,sticker.webp,tac|tac|chain|debank
5309946747550735543,taiko,taiko,🔗,sticker.webp,taiko|taiko|chain|debank
5310240669342671507,telos evm,tlos,🔗,sticker.webp,telos evm|tlos|chain|debank
5310269411263811700,unichain,uni,🔗,sticker.webp,unichain|uni|chain|debank
5307529995223078960,wemix,wemix,🔗,sticker.webp,wemix|wemix|chain|debank
5309972835182091957,world chain,world,🔗,sticker.webp,world chain|world|chain|debank
5309917241125409404,x layer,xlayer,🔗,sticker.webp,x layer|xlayer|chain|debank
5309782035554932832,xrpl evm,xrpl,🔗,sticker.webp,xrpl evm|xrpl|chain|debank
5309885462662387740,zetachain,zeta,🔗,sticker.webp,zetachain|zeta|chain|debank
5310078800615216668,zircuit,zircuit,🔗,sticker.webp,zircuit|zircuit|chain|debank
5307729006827708271,zksync era,era,🔗,sticker.webp,zksync era|era|chain|debank
5307645607152754887,zora,zora,🔗,sticker.webp,zora|zora|chain|debank
